name,isOpenSource,pageUrl,category,logo,shortDescription
Microsoft Azure,false,azure,Cloud Platform,https://brandlogos.net/wp-content/uploads/2022/07/microsoft_azure-logo_brandlogos.net_mlyt6-512x512.png,A cloud computing platform offering a wide range of services for building and deploying applications.
Google Cloud Platform (GCP),false,gcp,Cloud Platform,https://brandlogos.net/wp-content/uploads/2022/07/google_cloud-logo_brandlogos.net_qxnsy-512x512.png,A suite of cloud computing services running on Google's infrastructure.
Amazon Web Services (AWS),false,aws,Cloud Platform,https://nrphlnibzuquhuzswkqv.supabase.co/storage/v1/object/public/engineeringtools/aws.png,A comprehensive and widely adopted cloud platform offering over 200 fully featured services.
AWS Lambda,false,lambda,Compute,https://icon.icepanel.io/AWS/svg/Compute/Lambda.svg,A serverless compute service that runs your code in response to events and automatically manages the underlying compute resources.
Azure Functions,false,azure-functions,Compute,https://nrphlnibzuquhuzswkqv.supabase.co/storage/v1/object/public/engineeringtools/functions.svg,A serverless compute service that enables you to run code on-demand without having to explicitly provision or manage infrastructure.
Docker,true,docker,Containerization,https://cdn4.iconfinder.com/data/icons/logos-and-brands/512/97_Docker_logo_logos-512.png,"A platform for developing, shipping, and running applications in lightweight portable containers."
Segment,false,segment,Customer Data Platform,https://media.graphassets.com/ZYqNOo1hTVy0djlkIgHA,"A customer data platform that collects, cleans, and controls customer data for businesses."
Apache Iceberg,true,iceberg,Data Format,https://py.iceberg.apache.org/assets/images/iceberg-logo-icon.png,An open table format for huge analytic datasets that brings SQL table-like performance to big data.
JSON,true,json,Data Format,https://www.json.org/img/json160.gif,"A lightweight, text-based, language-independent data interchange format."
XML,true,xml,Data Format,https://www.svgrepo.com/show/31053/xml.svg,A markup language for storing and transporting data.
CSV,true,csv,Data Format,https://www.svgrepo.com/show/375309/csv-document.svg,A simple text format for storing tabular data.
Parquet,true,parquet,Data Format,https://nrphlnibzuquhuzswkqv.supabase.co/storage/v1/object/public/engineeringtools/parquet.png,A columnar storage file format optimized for use with big data processing frameworks.
Avro,true,avro,Data Format,https://nrphlnibzuquhuzswkqv.supabase.co/storage/v1/object/public/engineeringtools/avro.png,A data serialization system providing rich data structures in a compact fast binary format.
ORC,true,orc,Data Format,https://cdn.icon-icons.com/icons2/2699/PNG/512/apache_orc_logo_icon_167862.png,A high-performance columnar storage file format for Hadoop workloads.
Snowflake,false,snowflake,Data Warehouse,https://cdn.icon-icons.com/icons2/2699/PNG/512/snowflake_logo_icon_167979.png,A cloud-based data warehousing platform with separated compute and storage.
Apache Hive,true,hive,Data Warehouse,https://cdn.icon-icons.com/icons2/2699/PNG/512/apache_hive_logo_icon_167867.png,A data warehouse software project built on Apache Hadoop with a SQL-like interface.
Google BigQuery,false,bigquery,Data Warehouse,https://www.vectorlogo.zone/logos/google_bigquery/google_bigquery-icon.svg,"A serverless, highly scalable, and cost-effective multi-cloud data warehouse."
AWS Redshift,true,redshift,Data Warehouse,https://icon.icepanel.io/AWS/svg/Analytics/Redshift.svg,"A fast, fully managed cloud data warehouse for analyzing all your data across your data warehouse and data lake."
Apache Druid,true,druid,Database,"https://open-metadata.org/_ipx/w_2048,q_75/%2Fassets%2Fservices%2Fdruid.webp?url=%2Fassets%2Fservices%2Fdruid.webp&w=2048&q=75",A high-performance real-time analytics database for large datasets.
PostgreSQL,true,postgresql,Database,https://www.postgresql.org/media/img/about/press/elephant.png,An advanced open-source relational database management system.
Apache Cassandra,false,cassandra,Database,https://cdn.icon-icons.com/icons2/2699/PNG/512/apache_cassandra_logo_icon_170572.png,A highly scalable high-performance distributed NoSQL database.
DuckDB,true,duckdb,Database,https://pbs.twimg.com/profile_images/1274363897676521474/qgbqYYuV_400x400.jpg,An embeddable SQL OLAP database management system optimized for analytical queries.
SQLite,true,sqllite,Database,https://anturis.com/wp-content/uploads/2022/09/SQLite-Logo-1.png,"A lightweight, serverless, and self-contained SQL database engine."
Supabase,true,supabase,Database;Storage;Query Engine,https://seeklogo.com/images/S/supabase-logo-DCC676FFE2-seeklogo.com.png,An open-source Firebase alternative offering a complete backend solution with a Postgres database at its core.
ClickHouse,true,clickhouse,Database; Data Warehouse,https://asset.brandfetch.io/idnezyZEJm/id_CPPYVKt.jpeg?updated=1684474240695,"An open-source, high performance columnar OLAP database management system."
Terraform,false,terraform,Infrastructure as Code,https://cdn.icon-icons.com/icons2/2107/PNG/512/file_type_terraform_icon_130125.png,"An open-source infrastructure as code tool for building, changing, and versioning infrastructure safely and efficiently."
Pulumi,true,pulumi,Infrastructure as Code,https://www.pulumi.com/logos/brand/avatar-on-black.svg,An open-source infrastructure as code tool that uses real programming languages for deploying and managing cloud resources.
Debezium,true,debezium,Ingestion,https://www.vectorlogo.zone/logos/debeziumio/debeziumio-icon.svg,An open-source platform for change data capture based on Apache Kafka.
Apache NiFi,true,nifi,Ingestion,https://nifi.apache.org/images/apache-nifi-drop-logo.svg,A platform designed to automate the flow of data between systems.
Talend,false,talend,Ingestion,"https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/mss7jl4fbxzgvuwbcv6h",A suite of cloud apps for data integration and data integrity.
Fivetran,false,fivetran,Ingestion,https://www.vectorlogo.zone/logos/fivetran/fivetran-icon.svg,An automated data integration service that synchronizes data from applications databases and file stores.
Stitch,true,stitch,Ingestion,https://www.stitchdata.com/images/og-site-icon.png,A cloud-based platform for extracting transforming and loading (ETL) data.
Mage,true,mage,Ingestion,https://avatars.githubusercontent.com/u/69371472?s=200&v=4,An open-source data pipeline tool for building ETL and ML workflows with code.
Airbyte,true,airbyte,Ingestion,https://seeklogo.com/images/A/airbyte-logo-CC005A0105-seeklogo.com.png,An open-source data integration platform for ELT pipelines from APIs databases and files to warehouses and lakes.
Meltano,true,meltano,Ingestion,https://hub.meltano.com/assets/static/meltano.73f0d34.f6f689a38b0fbf42dc9bfa55e539954a.png,An open-source DataOps platform for the complete data lifecycle.
Matillion,false,matillion,Ingestion,https://yt3.googleusercontent.com/3-BKGTk4LOfkdsAZHp8gS-Iyo5L2BkN8uZYgp81CAGzTN8To2wvLfw0ZT2ROUAt2m1kkZNXqlHo=s160-c-k-c0x00ffffff-no-rj,A SaaS-based data integration tool for loading data into cloud data platforms.
Rivery,false,rivery,Ingestion,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/a21ed36a-8964-4ff7-99c6-e7078ed0c34b.png?auto=format%2Ccompress&fit=max&w=96&q=75&ch=Width%2CDPR,A cloud-native platform for building and managing data pipelines and workflows.
Datuum,false,datuum,Ingestion,https://datuum.ai/wp-content/themes/datuum/images/datuum-fav.png,"A platform for monitoring, alerting, and resolving data quality issues across the entire data stack."
Informatica,false,informatica,Ingestion,https://images.contentstack.io/v3/assets/bltf2fca5bf44f5e817/blt56ff4c76be4b6769/654292efa7f5f10018700465/informatica-logo.png,"A comprehensive enterprise platform for data integration, quality, governance, and master data management."
Data Load Tool (DLT),true,dlt,Ingestion,https://cdn.sanity.io/images/nsq559ov/production/7f85e56e715b847c5519848b7198db73f793448d-82x25.svg?w=2000&auto=format,A data engineering platform that streamlines the creation and management of data pipelines with dbt integration and data quality features.
Portable,false,portable,Ingestion,"https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/shppofmvueo4mzwu9ehc",A no-code ELT platform with pre-built connectors for syncing data from various sources to data warehouses and lakes.
Streamkap,false,streamkap,Ingestion;Transformation,https://nrphlnibzuquhuzswkqv.supabase.co/storage/v1/object/public/engineeringtools/streamkap.png,A real-time data integration platform for continuous data replication and transformation.
Datacoves,false,datacoves,Ingestion;Transformation,https://pbs.twimg.com/profile_images/1662116534322438144/sG4Fphrx_400x400.png,An integrated platform for modern data stack development and operations.
Java,true,java,Language,https://cdn.icon-icons.com/icons2/2415/PNG/512/java_original_logo_icon_146458.png,"A popular, versatile, and platform-independent programming language used in various domains."
SQL,true,sql,Language,https://nrphlnibzuquhuzswkqv.supabase.co/storage/v1/object/public/engineeringtools/sql.png,A standard language for managing and querying relational databases.
Python,true,python,Language,https://cdn.icon-icons.com/icons2/2699/PNG/512/python_logo_icon_168886.png,"A versatile, high-level programming language widely used in data science, web development, and general-purpose programming."
SQLAlchemy,true,sqlalchemy,Library,https://icon.icepanel.io/Technology/png-shadow-512/SQLAlchemy.png,A SQL toolkit and Object-Relational Mapping (ORM) library for Python.
Polars,true,polars,Library;Transformation; Query Engine,https://pola.rs/favicon.svg,"A fast, multi-threaded DataFrame library for efficient data processing in Python and Rust."
Pandas,true,pandas,Library;Transformation;Query Engine,https://pandas.pydata.org/static/img/pandas_mark_white.svg,A Python library for data manipulation and analysis with DataFrame structures.
Amazon DMS,false,dms,Migration,https://icon.icepanel.io/AWS/svg/Database/Database-Migration-Service.svg,A cloud service for migrating databases to AWS quickly and securely.
Metaplane,false,metaplane,Observability,https://asset.brandfetch.io/idZRN0Azs7/idVNPufMVy.svg?updated=1684835443623,"A data observability platform for monitoring data quality, detecting anomalies, and preventing data downtime."
Apache Airflow,true,airflow,Orchestration,https://cwiki.apache.org/confluence/download/attachments/145723561/airflow_transparent.png?api=v2,A platform to programmatically author schedule and monitor workflows.
Luigi,true,luigi,Orchestration,https://raw.githubusercontent.com/spotify/luigi/master/doc/luigi.png,A Python package for building complex pipelines of batch jobs with dependency management.
Dagster,true,dagster,Orchestration,https://dagster.io/images/brand/logos/dagster-reversed-mark.svg,"An open-source data orchestrator for building, testing and monitoring data pipelines."
Prefect,true,prefect,Orchestration,https://nrphlnibzuquhuzswkqv.supabase.co/storage/v1/object/public/engineeringtools/prefect.png,A workflow management system for building resilient and dynamic data pipelines.
Orchestra,true,orchestra,Orchestration,https://cdn.prod.website-files.com/6541750d4db1a741ed66738c/66934478274bbd9e85cb9b94_Data%20Orchestration%20Icon.png,An open-source platform for orchestrating and monitoring data and ML workflows.
Astronomer,false,astronomer,Orchestration,https://www.astronomer.io/favicon.svg,A data orchestration platform built on Apache Airflow - providing tools for developing and managing data workflows.
Kestra,true,kestra,Orchestration,https://kestra.io/favicon-192x192.png,An open-source workflow orchestration platform for building and managing complex data pipelines with event-driven capabilities.
Y42,false,y42,Orchestration; Ingestion,"https://media.graphassets.com/output=format:jpg/resize=,width:59,height:59,fit:crop/pFV2MSfWQGAN6ruQEc6s","An all-in-one data platform combining data integration, transformation, orchestration, and analytics."
Microsoft Fabric,false,fabric,Orchestration; Ingestion,https://nrphlnibzuquhuzswkqv.supabase.co/storage/v1/object/public/engineeringtools/fabric.png,An integrated platform combining various Microsoft data and analytics services into a unified experience.
Azure Data Factory,false,data-factory,Orchestration;Ingestion,https://code.benco.io/icon-collection/azure-icons/Data-Factory.svg,A fully managed serverless data integration service for ETL/ELT workflows.
Apache Flink,true,flink,Processing; Streaming,https://cdn.icon-icons.com/icons2/2699/PNG/512/apache_flink_logo_icon_168620.png,A framework and distributed processing engine for stateful computations over data streams.
Azure Stream Analytics,false,stream-analytics,Processing; Streaming,https://nrphlnibzuquhuzswkqv.supabase.co/storage/v1/object/public/engineeringtools/stream_analytics.png,"A real-time analytics service for stream processing of fast moving data streams from devices, sensors, infrastructure, applications and more."
Apache Hudi,true,hudi,Processing;Streaming,https://hudi.apache.org/assets/images/logo-big.png,An open-source data management framework that provides atomic upserts and incremental data processing.
Apache Beam,true,beam,Processing;Streaming,https://cdn.icon-icons.com/icons2/2699/PNG/512/apache_beam_logo_icon_168624.png,A unified programming model for defining and executing data processing pipelines.
Databricks,false,databricks,Processing;Streaming;Query Engine,https://asset.brandfetch.io/idSUrLOWbH/idQeSz8UHv.svg?updated=1668081624532,A unified data analytics platform built on Apache Spark for big data processing and machine learning.
Apache Spark,true,spark,Processing;Streaming;Query Engine,https://cdn.icon-icons.com/icons2/2699/PNG/512/apache_spark_logo_icon_170560.png,A unified analytics engine for large-scale data processing with support for various data tasks.
Great Expectations,true,great-expectations,Quality,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSjkqYHr049iwVfZYm67YaebpFhPsWogNpUoypOkgbuVblVB9BJ-T6L5NhHjrsrrwsc3NA&usqp=CAU,"An open-source Python library for data validation, documentation, and profiling."
Pydantic,true,pydantic,Quality,https://avatars.githubusercontent.com/u/110818415?v=4,A data validation and settings management library using Python type hints.
Starburst,false,starburst,Query Engine,"https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/imsmiqjafibkwqzcwsrb",An enterprise-ready distributed SQL query engine for big data.
AWS Athena,false,athena,Query Engine,https://icon.icepanel.io/AWS/svg/Analytics/Athena.svg,"A serverless, interactive query service for analyzing data in Amazon S3 using SQL."
Trino,true,trino,Query Engine,https://avatars.githubusercontent.com/u/34147222?s=200&v=4,An open-source distributed SQL query engine for big data analytics across multiple data sources.
Dremio,true,dremio,Query Engine,https://www.vectorlogo.zone/logos/dremio/dremio-icon.svg,An open-source data lake engine that accelerates queries and provides a SQL interface to various data sources.
Elasticsearch,true,elasticsearch,Query Engine,https://cdn.worldvectorlogo.com/logos/elasticsearch.svg,A distributed RESTful search and analytics engine for various use cases.
AWS S3,false,s3,Storage,https://icon.icepanel.io/AWS/svg/Storage/Simple-Storage-Service.svg,A scalable object storage service for storing and retrieving any amount of data.
Microsoft ADLS Gen2,false,adls-gen2,Storage,https://miro.medium.com/v2/resize:fit:600/1*xkem5OSBR4oeQbMptKm6sw.png,"A hierarchical file system built on Azure Blob storage, optimized for analytics workloads."
Apache Hadoop,true,hadoop,Storage;Query Engine,https://cdn.icon-icons.com/icons2/2699/PNG/512/apache_hadoop_logo_icon_169586.png,An open-source framework for distributed storage and processing of large datasets.
Apache Kafka,true,kafka,Streaming,https://nrphlnibzuquhuzswkqv.supabase.co/storage/v1/object/public/engineeringtools/kafka.png,A distributed event streaming platform for building real-time data pipelines and streaming applications.
Apache Pulsar,true,pulsar,Streaming,https://vectorseek.com/wp-content/uploads/2023/11/Apache-Pulsar-Icon-Logo-Vector.svg-.png,A cloud-native distributed messaging and streaming platform.
AWS Kinesis,false,kinesis,Streaming,https://icon.icepanel.io/AWS/svg/Analytics/Kinesis.svg,"A platform for streaming data on AWS, making it easy to load and analyze streaming data."
Redpanda,true,redpanda,Streaming,https://nrphlnibzuquhuzswkqv.supabase.co/storage/v1/object/public/engineeringtools/redpanda.png,A Kafka-compatible event streaming platform with improved performance.
dbt,true,dbt,Transformation,https://nrphlnibzuquhuzswkqv.supabase.co/storage/v1/object/public/engineeringtools/dbt.png,A command-line tool for transforming data in warehouses using SQL.
Git,true,git,Version Control,https://cdn.icon-icons.com/icons2/2107/PNG/512/file_type_git_icon_130581.png,A distributed version control system for tracking changes in source code during software development.
Microsoft Synapse,false,synapse,Visualization,https://azure.microsoft.com/svghandler/synapse-analytics.png,An integrated analytics service that accelerates time to insight across data warehouses and big data systems.
Looker,false,looker,Visualization,https://coefficient.io/wp-content/uploads/2022/03/looker.png,"A business intelligence platform for data exploration, visualization, and embedded analytics."
Power BI,false,powerbi,Visualization,https://1000logos.net/wp-content/uploads/2022/08/Microsoft-Power-BI-Logo.png,A suite of business analytics tools for analyzing data and sharing insights.
Tableau,false,tableau,Visualization,https://leadsbridge.com/wp-content/themes/leadsbridge/img/integration-lg-logos/logo1024.png,A visual analytics platform for creating interactive data visualizations and dashboards.
Apache Superset,true,superset,Visualization,https://seeklogo.com/images/S/superset-icon-logo-D70353ADD5-seeklogo.com.png,A modern data exploration and visualization platform for creating interactive dashboards.
Metabase,true,metabase,Visualization,https://www.metabase.com/images/logo.svg,An open-source business intelligence and analytics tool for easy data exploration and visualization.
Hex,false,hex,Visualization,https://mds-bucket.us-southeast-1.linodeobjects.com/93142832.png,"A collaborative analytics platform combining notebooks, SQL, and visualizations."
