pageUrl,name,category,description,logo,getStarted,EITMLI18,url,useCases,isOpenSource
azure,Microsoft Azure,Cloud Platform,"Microsoft Azure is a cloud computing platform offering a wide range of services including virtual computing, storage, analytics, and networking.",https://brandlogos.net/wp-content/uploads/2022/07/microsoft_azure-logo_brandlogos.net_mlyt6-512x512.png,https://learn.microsoft.com/en-us/azure/azure-portal/azure-portal-quickstart-center,"Azure is a comprehensive cloud platform that provides a vast array of services for building, deploying, and managing applications and services through Microsoft-managed data centers.",https://azure.microsoft.com,"- Cloud computing
- Web hosting
- Data analytics",false
gcp,Google Cloud Platform (GCP),Cloud Platform,"Google Cloud Platform is a set of cloud computing services that Google offers, including virtual machines, storage, networking, and more",https://brandlogos.net/wp-content/uploads/2022/07/google_cloud-logo_brandlogos.net_qxnsy-512x512.png,https://cloud.google.com/docs/get-started,"GCP provides a set of cloud computing services that run on Google's infrastructure, allowing you to build, test, and deploy applications on a highly scalable and reliable platform.",https://cloud.google.com,"- Cloud storage
- Machine learning
- Big data processing",false
aws,Amazon Web Services (AWS),Cloud Platform,"AWS offers a broad set of global cloud-based products including compute, storage, databases, analytics, networking, mobile, developer tools, and IoT.",https://nrphlnibzuquhuzswkqv.supabase.co/storage/v1/object/public/engineeringtools/aws.png,https://aws.amazon.com/getting-started/,"AWS provides a vast array of cloud services that allow you to build sophisticated, scalable applications with increased flexibility, security and reliability.",https://aws.amazon.com,"- Cloud computing
- Database management
- Content delivery",false
lambda,AWS Lambda,Compute,"AWS Lambda lets you run code without provisioning or managing servers, executing code only when needed and scaling automatically.",https://icon.icepanel.io/AWS/svg/Compute/Lambda.svg,https://docs.aws.amazon.com/lambda/latest/dg/getting-started.html,"Lambda is like a magic function in the cloud that runs your code automatically in response to events, without you having to worry about servers or scaling.",https://aws.amazon.com/lambda,"- Serverless computing
- Event-driven applications
- Microservices",false
azure-functions,Azure Functions,Compute,"Azure Functions is a serverless solution that allows you to write less code, maintain less infrastructure, and save on costs.",https://nrphlnibzuquhuzswkqv.supabase.co/storage/v1/object/public/engineeringtools/functions.svg,https://docs.microsoft.com/en-us/azure/azure-functions/functions-overview,"Azure Functions is like having small pieces of code that wake up and do their job whenever they're needed, without you having to manage any servers.",https://azure.microsoft.com/en-us/products/functions,"- Serverless computing
- Event processing
- Background tasks",false
docker,Docker,Containerization,"Docker is a platform for developing, shipping, and running applications in containers, ensuring consistency across different environments.",https://cdn4.iconfinder.com/data/icons/logos-and-brands/512/97_Docker_logo_logos-512.png,https://docs.docker.com/get-started/,"Docker allows you to package your application and all its dependencies into a standardized unit called a container, making it easy to deploy and run your software on any system.",https://www.docker.com,"- Application containerization
- Microservices
- DevOps",true
segment,Segment,Customer Data Platform,"Segment is a customer data platform that helps you collect, clean, and control your customer data.",https://media.graphassets.com/ZYqNOo1hTVy0djlkIgHA,https://segment.com/docs/,"Segment is like a central hub for all your customer data, helping you collect information from various sources and send it to the tools you use for marketing, analytics, and more.",https://segment.com,"- Customer data collection
- Data integration
- Marketing analytics",false
iceberg,Apache Iceberg,Data Format,Apache Iceberg is a table format for large analytic datasets that provides high performance and reliability for data lakes.,https://py.iceberg.apache.org/assets/images/iceberg-logo-icon.png,https://iceberg.apache.org/spark-quickstart/,"Iceberg is a modern table format for data lakes that allows you to manage large analytical datasets with improved performance, reliability, and features like schema evolution and time travel.",https://iceberg.apache.org,"- Data lake management
- Analytics
- Large-scale data processing",true
json,JSON,Data Format,JSON (JavaScript Object Notation) is a lightweight data-interchange format that is easy for humans to read and write and easy for machines to parse and generate.,https://www.json.org/img/json160.gif,https://www.w3schools.com/js/js_json_intro.asp,"JSON is like a universal language for data, providing a simple way to store and exchange information that both humans and computers can understand easily.",https://www.json.org,"- Data interchange
- Configuration files
- API responses",true
xml,XML,Data Format,XML (eXtensible Markup Language) is a markup language that defines a set of rules for encoding documents in a format that is both human-readable and machine-readable.,https://www.svgrepo.com/show/31053/xml.svg,https://www.w3schools.com/xml/default.asp,"XML is like a versatile container for data, allowing you to structure information in a way that's meaningful for both humans and computers, often used for config files and data exchange.",https://www.w3schools.com/xml/xml_whatis.asp,"- Data interchange
- Configuration files
- Web services",true
csv,CSV,Data Format,"CSV (Comma-Separated Values) is a simple file format used to store tabular data, such as a spreadsheet or database.",https://www.svgrepo.com/show/375309/csv-document.svg,https://www.geeksforgeeks.org/working-csv-files-python/,"CSV is like a simple table format for data, where each line is a row and commas separate the columns, making it easy to exchange data between different programs.",https://en.wikipedia.org/wiki/Comma-separated_values,"- Data storage
- Data exchange
- Spreadsheet compatibility",true
parquet,Parquet,Data Format,Apache Parquet is a columnar storage file format designed for efficient data storage and retrieval.,https://nrphlnibzuquhuzswkqv.supabase.co/storage/v1/object/public/engineeringtools/parquet.png,https://arrow.apache.org/docs/python/parquet.html,"Parquet is like a super-efficient filing cabinet for your data, storing it in a way that makes it quick to read and analyze, especially for large datasets.",https://parquet.apache.org,"- Big data storage
- Analytics
- Data warehousing",true
avro,Avro,Data Format,"Apache Avro is a data serialization system that provides rich data structures and a compact, fast, binary data format.",https://nrphlnibzuquhuzswkqv.supabase.co/storage/v1/object/public/engineeringtools/avro.png,https://avro.apache.org/docs/1.12.0/getting-started-python/,"Avro is like a universal language for data, allowing you to define complex data structures and serialize them in a compact format that's easy for computers to process quickly.",https://avro.apache.org,"- Data serialization
- Big data processing
- Schema evolution",true
orc,ORC,Data Format,Apache ORC (Optimized Row Columnar) is a highly efficient columnar storage file format for Hadoop workloads.,https://cdn.icon-icons.com/icons2/2699/PNG/512/apache_orc_logo_icon_167862.png,https://orc.apache.org/docs/pyarrow.html,"ORC is like a highly organized, space-saving container for your data, particularly good for storing and processing large amounts of data in Hadoop ecosystems.",https://orc.apache.org,"- Columnar storage
- Big data analytics
- Data warehousing",true
snowflake,Snowflake,Data Warehouse,Snowflake is a cloud-based data warehousing platform that separates compute and storage for scalability and cost-effectiveness.,https://cdn.icon-icons.com/icons2/2699/PNG/512/snowflake_logo_icon_167979.png,https://quickstarts.snowflake.com/,"Snowflake is a cloud-based data warehouse that allows you to store and analyze large amounts of structured and semi-structured data, with the ability to scale computing resources independently of storage.",https://www.snowflake.com,"- Data warehousing
- Big data analytics
- Cloud data platform",false
hive,Apache Hive,Data Warehouse,"Apache Hive is a data warehouse software project built on top of Apache Hadoop, providing a SQL-like interface.",https://cdn.icon-icons.com/icons2/2699/PNG/512/apache_hive_logo_icon_167867.png,https://cwiki.apache.org/confluence/display/Hive/GettingStarted,"Hive provides a SQL-like interface to query data stored in various databases and file systems that integrate with Hadoop, making it easier to apply structure to large datasets.",https://hive.apache.org,"- Big data querying
- Data warehousing
- ETL processing",true
bigquery,Google BigQuery,Data Warehouse,"BigQuery is a fully-managed, serverless data warehouse that enables super-fast SQL queries using the processing power of Google's infrastructure.",https://www.vectorlogo.zone/logos/google_bigquery/google_bigquery-icon.svg,https://cloud.google.com/bigquery/docs/quickstarts/query-public-dataset-console,"BigQuery is a powerful data warehouse that allows you to run SQL queries on massive datasets quickly, without needing to manage any infrastructure.",https://cloud.google.com/bigquery,"- Data warehousing
- Big data analytics
- Real-time analysis",false
redshift,AWS Redshift,Data Warehouse,"Amazon Redshift is a fully managed, petabyte-scale data warehouse service in the cloud.",https://icon.icepanel.io/AWS/svg/Analytics/Redshift.svg,https://docs.aws.amazon.com/redshift/latest/gsg/new-user-serverless.html,"Redshift is a cloud-based data warehouse that allows you to analyze large volumes of data using your existing business intelligence tools, with fast query performance.",https://aws.amazon.com/redshift,"- Data warehousing
- Business intelligence
- Big data analytics",true
druid,Apache Druid,Database,"Apache Druid is a high-performance, real-time analytics database designed for fast slice-and-dice analytics on large data sets.","https://open-metadata.org/_ipx/w_2048,q_75/%2Fassets%2Fservices%2Fdruid.webp?url=%2Fassets%2Fservices%2Fdruid.webp&w=2048&q=75",https://druid.apache.org/docs/latest/tutorials/,"Druid is a real-time analytics database that allows you to run fast, interactive queries on large datasets, especially useful for powering user-facing analytic applications.",https://druid.apache.org,"- Real-time analytics
- Time series data
- OLAP",true
postgresql,PostgreSQL,Database,"PostgreSQL is a powerful, open-source object-relational database system. It's known for reliability, feature robustness, and performance.",https://www.postgresql.org/media/img/about/press/elephant.png,https://www.postgresqltutorial.com/,"PostgreSQL is a sophisticated database system that allows you to store, retrieve, and manage complex data structures efficiently, with support for advanced queries and transactions.",https://www.postgresql.org,"- Relational database
- ACID-compliant transactions
- Complex queries",true
cassandra,Apache Cassandra,Database,"Apache Cassandra is a highly scalable, high-performance distributed NoSQL database.",https://cdn.icon-icons.com/icons2/2699/PNG/512/apache_cassandra_logo_icon_170572.png,https://cassandra.apache.org/doc/latest/cassandra/getting_started/index.html,"Cassandra is a NoSQL database designed to handle large amounts of structured data across many commodity servers, providing high availability with no single point of failure.",https://cassandra.apache.org,"- NoSQL database
- High availability
- Scalable data storage",false
duckdb,DuckDB,Database,"DuckDB is an in-process SQL OLAP database management system, designed to be fast and easy to use for analytical queries.",https://pbs.twimg.com/profile_images/1274363897676521474/qgbqYYuV_400x400.jpg,https://duckdb.org/docs/api/python/overview.html,"DuckDB is a lightweight, fast SQL database that runs within your application process, making it ideal for quick data analysis and processing without the need for a separate database server.",https://duckdb.org,"- In-process analytics
- Data science
- Embedded databases",true
sqllite,SQLite,Database,"SQLite is a C-language library that implements a small, fast, self-contained, high-reliability, full-featured, SQL database engine.",https://anturis.com/wp-content/uploads/2022/09/SQLite-Logo-1.png,https://www.sqlite.org/quickstart.html,"SQLite is like a mini database that lives right inside your application, perfect for when you need a reliable way to store and retrieve data without setting up a separate database server.",https://www.sqlite.org,"- Embedded databases
- Local data storage
- Application file format",true
supabase,Supabase,Database;Storage;Query Engine,"Supabase is an open-source Firebase alternative providing all the backend features developers need to build a product: a Postgres database, Authentication, instant APIs, Edge Functions, Realtime subscriptions, and Storage.",https://seeklogo.com/images/S/supabase-logo-DCC676FFE2-seeklogo.com.png,https://supabase.com/docs/guides/getting-started,"Supabase is like a fully-equipped workshop for app developers, giving you all the tools you need to build the backend of your app quickly - database, user login, APIs, and more, all in one place.",https://supabase.com,"- Backend-as-a-Service
- Real-time databases
- Authentication",true
clickhouse,ClickHouse,Database; Data Warehouse,ClickHouse is an open-source column-oriented database management system for online analytical processing (OLAP) that allows generating analytical reports using SQL queries in real-time.,https://asset.brandfetch.io/idnezyZEJm/id_CPPYVKt.jpeg?updated=1684474240695,https://clickhouse.com/docs/en/getting-started/quick-start,"ClickHouse is a high-performance analytical database that allows you to run complex queries on large datasets very quickly, making it ideal for real-time data analysis and reporting.",https://clickhouse.com,"- OLAP
- Real-time analytics
- Big data processing",true
terraform,Terraform,Infrastructure as Code,"Terraform is an open-source infrastructure as code software tool that enables you to safely and predictably create, change, and improve infrastructure.",https://cdn.icon-icons.com/icons2/2107/PNG/512/file_type_terraform_icon_130125.png,https://learn.hashicorp.com/terraform,"Terraform is like a blueprint for your cloud infrastructure, allowing you to define and manage your tech resources using code, making it easier to deploy and maintain complex systems.",https://www.terraform.io,"- Infrastructure as Code
- Cloud resource management
- Multi-cloud deployment",false
pulumi,Pulumi,Infrastructure as Code,"Pulumi is an open-source infrastructure as code tool for creating, deploying, and managing cloud infrastructure using familiar programming languages.",https://www.pulumi.com/logos/brand/avatar-on-black.svg,https://www.pulumi.com/docs/get-started/,"Pulumi lets you use programming languages you already know to define and manage your cloud infrastructure, making it easier to create and maintain complex cloud systems.",https://www.pulumi.com,"- Infrastructure as Code
- Cloud native development
- Multi-language support",true
debezium,Debezium,Ingestion,"Debezium is an open source distributed platform for change data capture, built on top of Apache Kafka.",https://www.vectorlogo.zone/logos/debeziumio/debeziumio-icon.svg,https://debezium.io/documentation/reference/stable/tutorial.html,"Debezium is like a vigilant observer for your databases, instantly noticing and reporting any changes, which helps keep all your data systems in sync in real-time.",https://debezium.io,"- Change Data Capture
- Data integration
- Real-time data streaming",true
nifi,Apache NiFi,Ingestion,"Apache NiFi is designed to automate the flow of data between systems, supporting powerful and scalable directed graphs of data routing.",https://nifi.apache.org/images/apache-nifi-drop-logo.svg,https://nifi.apache.org/docs/nifi-docs/html/getting-started.html,"NiFi provides a web-based interface for designing, controlling, and monitoring a dataflow between systems, allowing you to automate data movement and transformation.",https://nifi.apache.org,"- Data ingestion
- Data transformation
- Data routing",true
talend,Talend,Ingestion,"Talend is a suite of cloud apps for data integration and data integrity, helping companies collect, govern, transform, and share data.","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/mss7jl4fbxzgvuwbcv6h",https://www.talend.com/knowledge-center/,"Talend provides a suite of tools for data integration, allowing you to connect, transform, and manage data from various sources in a unified platform.",https://www.talend.com,"- Data integration
- ETL processes
- Data quality management",false
fivetran,Fivetran,Ingestion,Fivetran is a fully managed data integration platform that helps users replicate data from various sources into data warehouses.,https://www.vectorlogo.zone/logos/fivetran/fivetran-icon.svg,https://fivetran.com/docs/getting-started,"Fivetran automates data integration from various sources into your data warehouse, handling the extraction and loading processes so you can focus on analysis.",https://www.fivetran.com,"- Data integration
- ETL/ELT
- Data pipeline automation",false
stitch,Stitch,Ingestion,"Stitch is a cloud-first, open source platform for rapidly moving data.",https://www.stitchdata.com/images/og-site-icon.png,https://www.stitchdata.com/docs/getting-started/,Stitch is a cloud-based platform that helps you quickly and easily replicate data from various sources into your data warehouse for analysis.,https://www.stitchdata.com,"- Data integration
- ETL
- Data pipeline automation",true
mage,Mage,Ingestion,"Mage.ai is an open-source data pipeline tool for transforming and integrating data using Python, SQL, and R.",https://avatars.githubusercontent.com/u/69371472?s=200&v=4,https://docs.mage.ai/getting-started/setup,"Mage.ai is a modern data pipeline tool that allows you to build, run, and manage data workflows using familiar languages like Python and SQL, with features like data lineage and scheduling.",https://www.mage.ai,"- Data orchestration
- ETL/ELT
- Data pipeline development",true
airbyte,Airbyte,Ingestion,"Airbyte is an open-source data integration platform that helps you replicate data from applications, APIs, and databases to data warehouses, lakes, and other destinations.",https://seeklogo.com/images/A/airbyte-logo-CC005A0105-seeklogo.com.png,https://docs.airbyte.com/using-airbyte/getting-started/oss-quickstart,"Airbyte is a tool that helps you move data from various sources to your preferred destination, with a wide range of pre-built connectors and the ability to build custom ones.",https://airbyte.com,"- Data integration
- ETL/ELT
- Open-source data connectors",true
meltano,Meltano,Ingestion,"Meltano is an open source platform for building, running & orchestrating ELT pipelines.",https://hub.meltano.com/assets/static/meltano.73f0d34.f6f689a38b0fbf42dc9bfa55e539954a.png,https://docs.meltano.com/getting-started,"Meltano is an end-to-end DataOps platform that helps you set up and manage the entire data lifecycle, from extraction to transformation to analysis.",https://meltano.com,"- Data integration
- ELT
- DataOps",true
matillion,Matillion,Ingestion,Matillion Data Loader is a SaaS-based data integration tool that loads data from popular data sources into cloud data platforms.,https://yt3.googleusercontent.com/3-BKGTk4LOfkdsAZHp8gS-Iyo5L2BkN8uZYgp81CAGzTN8To2wvLfw0ZT2ROUAt2m1kkZNXqlHo=s160-c-k-c0x00ffffff-no-rj,https://www.matillion.com/docs/data-loader-getting-started/,"Matillion Data Loader is like a efficient conveyor belt, moving your data from various sources into your cloud data warehouse without you needing to write any code.",https://www.matillion.com,"- Data integration
- ETL/ELT
- Cloud data warehousing",false
rivery,Rivery,Ingestion,"Rivery is a SaaS platform for building end-to-end data pipelines, combining ETL, reverse-ETL, and data transformation capabilities.",https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/a21ed36a-8964-4ff7-99c6-e7078ed0c34b.png?auto=format%2Ccompress&fit=max&w=96&q=75&ch=Width%2CDPR,https://docs.rivery.io/docs/start-here,"Rivery is like a Swiss Army knife for data operations, allowing you to collect, transform, and distribute data across your entire data stack with a user-friendly interface.",https://rivery.io,"- Data integration
- ETL/ELT
- Reverse ETL",false
datuum,Datuum,Ingestion,"Datuum is a data quality and observability platform that helps teams monitor, alert, and resolve data quality issues.",https://datuum.ai/wp-content/themes/datuum/images/datuum-fav.png,https://datuum.ai/#getdemo,"Datuum is like a quality control inspector for your data, constantly checking for issues and alerting you when something's not right, helping ensure your data is always reliable and trustworthy.",https://datuum.ai,"- Data quality monitoring
- Data observability
- Anomaly detection",false
informatica,Informatica,Ingestion,"Informatica is a comprehensive enterprise data integration and management platform, offering tools for data integration, quality, governance, and master data management.",https://images.contentstack.io/v3/assets/bltf2fca5bf44f5e817/blt56ff4c76be4b6769/654292efa7f5f10018700465/informatica-logo.png,https://www.informatica.com/products/cloud-data-integration.html,"Informatica is like a Swiss Army knife for enterprise data management, providing a wide range of tools to help large organizations collect, organize, clean, and use their data effectively across different systems and departments.",https://www.informatica.com,"- Data integration
- Data quality
- Master data management",false
dlt,Data Load Tool (DLT),Ingestion,"dlthub is a modern data engineering platform that simplifies the process of building and managing data pipelines, with a focus on dbt integration and data quality.",https://cdn.sanity.io/images/nsq559ov/production/7f85e56e715b847c5519848b7198db73f793448d-82x25.svg?w=2000&auto=format,https://dlthub.com/docs/tutorial/intro,"dlthub is like a smart assistant for data engineers, helping you build, test, and deploy data pipelines more easily, with built-in support for dbt and tools to ensure your data is reliable and up-to-date.",https://dlthub.com,"- Data integration
- ETL pipelines
- Data quality",true
portable,Portable,Ingestion,Portable is a modern ELT platform that offers hundreds of pre-built connectors to sync data from various sources to data warehouses and data lakes.,"https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/shppofmvueo4mzwu9ehc",https://portable.io/learn,"Portable is like a universal adapter for your data, allowing you to easily connect and sync information from many different apps and databases into your central data storage, without needing to write complex code for each connection.",https://portable.io,"- Data integration
- ETL
- No-code connectors",false
streamkap,Streamkap,Ingestion;Transformation,"Streamkap is a real-time data integration platform that enables continuous data replication and transformation (via apache Kafka and Flink) across databases, data warehouses, and data lakes.",https://nrphlnibzuquhuzswkqv.supabase.co/storage/v1/object/public/engineeringtools/streamkap.png,https://docs.streamkap.com/docs/getting-started,"Streamkap is a platform that allows you to move and transform data in real-time between different systems, enabling you to keep your data synchronized across various databases and analytics platforms.",https://streamkap.com,"- Real-time data integration
- Data replication
- Streaming ETL",false
datacoves,Datacoves,Ingestion;Transformation,"Datacoves is a modern data development environment that integrates with dbt, Airflow, and other tools to streamline the entire data lifecycle.",https://pbs.twimg.com/profile_images/1662116534322438144/sG4Fphrx_400x400.png,https://github.com/datacoves/dbt-coves?tab=readme-ov-file#installation,"Datacoves is a platform that brings together various data tools and best practices, helping you manage your entire data workflow from development to deployment more efficiently.",https://datacoves.com,"- Data development environment
- DataOps
- Collaboration",false
java,Java,Language,"Java is a versatile, object-oriented programming language used for developing a wide range of applications, from web to enterprise software.",https://cdn.icon-icons.com/icons2/2415/PNG/512/java_original_logo_icon_146458.png,https://dev.java/learn/getting-started/,"Java is a powerful, general-purpose programming language that allows you to write code once and run it on any platform, making it ideal for building large-scale, robust applications.",https://www.java.com,"- Enterprise software development
- Android app development
- Web application backend",true
sql,SQL,Language,"SQL (Structured Query Language) is a standard language for storing, manipulating and retrieving data in relational databases.",https://nrphlnibzuquhuzswkqv.supabase.co/storage/v1/object/public/engineeringtools/sql.png,https://www.w3schools.com/sql/sql_intro.asp,"SQL is the primary language used to interact with relational databases, allowing you to create, read, update, and delete data, as well as perform complex queries and data analysis.",https://aws.amazon.com/what-is/sql/,"- Database querying
- Data manipulation
- Data analysis",true
