pageUrl,name,category,description,logo,getStarted,EITMLI18,url,useCases,isOpenSource
python,Python,Language,"Python is a high-level, interpreted programming language known for its simplicity and readability. It supports multiple programming paradigms and has a large standard library.",https://cdn.icon-icons.com/icons2/2699/PNG/512/python_logo_icon_168886.png,https://docs.python.org/3/tutorial/,"Python is like a Swiss Army knife for programming - it's versatile, easy to learn, and can be used for almost anything from web development and data analysis to artificial intelligence.",https://www.python.org,"- Software Development
- Data analysis
- Machine learning",true
sqlalchemy,SQLAlchemy,Library,"SQLAlchemy is a comprehensive set of tools for working with databases in Python, including an ORM and a core SQL abstraction layer.",https://icon.icepanel.io/Technology/png-shadow-512/SQLAlchemy.png,https://docs.sqlalchemy.org/en/14/intro.html,"SQLAlchemy is a Python library that allows you to interact with databases using Python code instead of raw SQL, making it easier to work with databases in your applications.",https://www.sqlalchemy.org,"- ORM
- Database abstraction
- SQL generation",true
polars,Polars,Library;Transformation; Query Engine,"Polars is a fast multi-threaded DataFrame library implemented in Rust, with a Python front-end.",https://pola.rs/favicon.svg,https://docs.pola.rs/user-guide/getting-started/,"Polars is a high-performance data manipulation library that allows you to process large datasets quickly using multiple CPU cores, with an intuitive API similar to Pandas but with better performance for large datasets.",https://www.pola.rs,"- High-performance data manipulation
- Data analysis
- Large dataset processing",true
pandas,Pandas,Library;Transformation;Query Engine,"Pandas is a fast, powerful, flexible and easy to use open source data analysis and manipulation tool, built on top of Python.",https://pandas.pydata.org/static/img/pandas_mark_white.svg,https://pandas.pydata.org/docs/getting_started/index.html,"Pandas is a Python library that provides high-performance, easy-to-use data structures and data analysis tools, allowing you to manipulate and analyze structured data efficiently.",https://pandas.pydata.org,"- Data manipulation
- Data analysis
- Time series analysis",true
dms,Amazon DMS,Migration,Amazon Database Migration Service (DMS) helps you migrate databases to AWS quickly and securely.,https://icon.icepanel.io/AWS/svg/Database/Database-Migration-Service.svg,https://docs.aws.amazon.com/dms/latest/userguide/CHAP_GettingStarted.SettingUp.html,"Amazon DMS is like a moving company for your data, helping you transfer your databases to the AWS cloud quickly and safely, with minimal downtime.",https://aws.amazon.com/dms,"- Database migration
- Data replication
- Schema conversion",false
metaplane,Metaplane,Observability,"Metaplane is a data observability platform that helps data teams monitor the health and quality of their data pipelines, detect anomalies, and prevent data issues.",https://asset.brandfetch.io/idZRN0Azs7/idVNPufMVy.svg?updated=1684835443623,https://docs.metaplane.dev/docs/getting-started,"Metaplane is like a health monitor for your data systems, constantly checking vital signs, alerting you to anomalies, and helping you diagnose and fix issues before they cause problems for your business.",https://www.metaplane.dev,"- Data observability
- Data quality monitoring
- Anomaly detection",false
airflow,Apache Airflow,Orchestration,"Apache Airflow is a platform to programmatically author, schedule, and monitor workflows. It uses DAGs for workflow orchestration.",https://cwiki.apache.org/confluence/download/attachments/145723561/airflow_transparent.png?api=v2,https://airflow.apache.org/docs/apache-airflow/stable/start.html,"Airflow is a platform for programming complex computational workflows, allowing you to schedule and monitor data pipelines using Python code.",https://airflow.apache.org,"- Workflow orchestration
- ETL pipelines
- Task scheduling",true
luigi,Luigi,Orchestration,"Luigi is a Python package that helps you build complex pipelines of batch jobs, handling dependency resolution and workflow management.",https://raw.githubusercontent.com/spotify/luigi/master/doc/luigi.png,https://luigi.readthedocs.io/en/stable/,"Luigi is a Python library that helps you manage complex data processing pipelines, handling task scheduling, dependency resolution, and workflow management.",https://luigi.readthedocs.io/en/stable/index.html,"- Data pipeline management
- Batch job scheduling
- Dependency resolution",true
dagster,Dagster,Orchestration,"Dagster is a data orchestrator for machine learning, analytics, and ETL.",https://dagster.io/images/brand/logos/dagster-reversed-mark.svg,https://docs.dagster.io/tutorial,"Dagster is a data orchestration tool that allows you to define, manage, and monitor data pipelines using Python code, with built-in testing and error handling capabilities.",https://dagster.io,"- Data orchestration
- ETL pipelines
- Data quality",true
prefect,Prefect,Orchestration,Prefect is a workflow management system designed for modern data infrastructure.,https://nrphlnibzuquhuzswkqv.supabase.co/storage/v1/object/public/engineeringtools/prefect.png,https://docs-3.prefect.io/3.0rc/get-started/quickstart,"Prefect allows you to build, run, and monitor complex data workflows, with features like automatic retries, dynamic workflows, and real-time monitoring.",https://www.prefect.io,"- Workflow orchestration
- Data pipeline management
- Task scheduling",true
orchestra,Orchestra,Orchestration,Orchestra is an open-source platform for orchestrating data pipelines and machine learning workflows.,https://cdn.prod.website-files.com/6541750d4db1a741ed66738c/66934478274bbd9e85cb9b94_Data%20Orchestration%20Icon.png,https://orchestra-1.gitbook.io/orchestra-portal/quick-start,"Orchestra helps you manage complex data and ML tasks by coordinating different steps and ensuring they run in the right order, like a conductor leading an orchestra.",https://www.getorchestra.io/,"- ML workflow orchestration
- Data pipeline management
- Model deployment",true
astronomer,Astronomer,Orchestration,"Astronomer is a data orchestration platform powered by Apache Airflow, offering tools to develop, orchestrate, and monitor data pipelines.",https://www.astronomer.io/favicon.svg,https://www.astronomer.io/docs/astro/cli/overview,"Astronomer is like a mission control center for your data workflows, helping you design, schedule, and monitor complex data processes using the power of Apache Airflow, but with added tools and support.",https://www.astronomer.io,"- Airflow management
- Data pipeline orchestration
- ETL workflows",false
kestra,Kestra,Orchestration,"Kestra is an open-source, event-driven, and schedule-based workflow orchestration platform that helps you build, run, schedule, and monitor complex data pipelines.",https://kestra.io/favicon-192x192.png,https://kestra.io/docs/tutorial,"Kestra is like a skilled conductor for your data orchestra, coordinating various data tasks and processes to work together seamlessly, whether they need to run on a schedule or in response to specific events.",https://kestra.io,"- Workflow orchestration
- Data pipeline management
- Event-driven workflows",true
y42,Y42,Orchestration; Ingestion,"Y42 is a modern, self-service data platform that integrates data integration, transformation, orchestration, and analytics in one tool.","https://media.graphassets.com/output=format:jpg/resize=,width:59,height:59,fit:crop/pFV2MSfWQGAN6ruQEc6s",https://www.y42.com/docs/getting-started,"Y42 is like a one-stop-shop for data work, allowing you to pull in data from various sources, clean it up, run analyses, and create visualizations all in one place, without needing to switch between different tools.",https://www.y42.com,"- Data integration
- Data transformation
- Data visualization",false
fabric,Microsoft Fabric,Orchestration; Ingestion,"Microsoft Fabric is an all-in-one analytics solution for enterprises, unifying various data and analytics tools into a single, integrated platform.",https://nrphlnibzuquhuzswkqv.supabase.co/storage/v1/object/public/engineeringtools/fabric.png,https://learn.microsoft.com/en-us/fabric/get-started/end-to-end-tutorials,"Microsoft Fabric is like a complete toolbox for working with data in large organizations, bringing together tools for data storage, processing, analysis, and visualization in one place, making it easier to manage and use data across the entire company.",https://www.microsoft.com/en-us/microsoft-fabric,"- Data integration
- Analytics
- Data visualization",false
data-factory,Azure Data Factory,Orchestration;Ingestion,Azure Data Factory is a cloud-based ETL and data integration service that allows you to create data-driven workflows for orchestrating data movement and transforming data at scale.,https://code.benco.io/icon-collection/azure-icons/Data-Factory.svg,https://learn.microsoft.com/en-us/azure/data-factory/quickstart-get-started,"Azure Data Factory is like a data assembly line in the cloud, helping you move and transform data from various sources to where you need it, all managed through a visual interface.",https://azure.microsoft.com/en-us/products/data-factory,"- Data integration
- ETL/ELT
- Data pipeline orchestration",false
flink,Apache Flink,Processing; Streaming,Apache Flink is a framework and distributed processing engine for stateful computations over data streams.,https://cdn.icon-icons.com/icons2/2699/PNG/512/apache_flink_logo_icon_168620.png,https://ci.apache.org/projects/flink/flink-docs-release-1.14/docs/try-flink/datastream/,Flink is a powerful stream processing framework that allows you to process and analyze real-time data streams with high throughput and low latency.,https://flink.apache.org,"- Stream processing
- Real-time analytics
- Event-driven applications",true
stream-analytics,Azure Stream Analytics,Processing; Streaming,Azure Stream Analytics is a real-time analytics and complex event-processing engine that is designed to analyze and process high volumes of fast streaming data from multiple sources simultaneously.,https://nrphlnibzuquhuzswkqv.supabase.co/storage/v1/object/public/engineeringtools/stream_analytics.png,https://learn.microsoft.com/en-us/azure/stream-analytics/quick-start-build-application,"Azure Stream Analytics is like a super-fast data analyst that can process and analyze data as it's coming in, helping you get insights from your data in real-time.",https://azure.microsoft.com/en-us/products/stream-analytics,"- Real-time analytics
- IoT data processing
- Anomaly detection",false
hudi,Apache Hudi,Processing;Streaming,Apache Hudi (Hadoop Upserts Deletes and Incrementals) is a data management framework for faster processing and incremental updates to big data.,https://hudi.apache.org/assets/images/logo-big.png,https://hudi.apache.org/docs/quick-start-guide,"Hudi is a data management framework that allows you to perform upserts, deletes, and incremental data processing on large datasets stored in data lakes.",https://hudi.apache.org,"- Data lake management
- Incremental processing
- ACID transactions on data lakes",true
beam,Apache Beam,Processing;Streaming,Apache Beam provides a unified programming model for defining and executing data processing pipelines.,https://cdn.icon-icons.com/icons2/2699/PNG/512/apache_beam_logo_icon_168624.png,https://beam.apache.org/get-started/quickstart-py/,"Beam offers a unified programming model to define and execute data processing pipelines, including batch and streaming data processing jobs that can run on various execution engines.",https://beam.apache.org,"- Data processing
- ETL pipelines
- Unified batch and stream processing",true
databricks,Databricks,Processing;Streaming;Query Engine,"Databricks provides a unified analytics platform built on top of Apache Spark, designed for data science and engineering teams.",https://asset.brandfetch.io/idSUrLOWbH/idQeSz8UHv.svg?updated=1668081624532,https://www.databricks.com/learn,"Databricks offers a collaborative platform for data science and engineering, allowing you to easily process large amounts of data, build machine learning models, and create data pipelines.",https://www.databricks.com,"- Big data processing
- Machine learning
- Data engineering",false
spark,Apache Spark,Processing;Streaming;Query Engine,"Apache Spark is a unified analytics engine for large-scale data processing. It supports batch processing, real-time streaming, machine learning, and graph processing.",https://cdn.icon-icons.com/icons2/2699/PNG/512/apache_spark_logo_icon_170560.png,https://spark.apache.org/docs/latest/quick-start.html,"Spark is like a high-performance engine for data processing, allowing you to analyze massive datasets quickly using distributed computing techniques.",https://spark.apache.org,"- Big data processing
- Machine learning
- Stream processing",true
great-expectations,Great Expectations,Quality,"Great Expectations is a Python-based open-source library for validating, documenting, and profiling data.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSjkqYHr049iwVfZYm67YaebpFhPsWogNpUoypOkgbuVblVB9BJ-T6L5NhHjrsrrwsc3NA&usqp=CAU,https://docs.greatexpectations.io/docs/reference/learn/data_quality_use_cases/dq_use_cases_lp,"Great Expectations is like a quality control system for your data, helping you catch and prevent data quality issues before they cause problems in your analysis or applications.",https://greatexpectations.io,"- Data validation
- Data quality
- Data testing",true
pydantic,Pydantic,Quality,"Pydantic is a data validation and settings management library using Python type annotations, ensuring your data's integrity and structure.",https://avatars.githubusercontent.com/u/110818415?v=4,https://pydantic-docs.helpmanual.io/usage/models/,"Pydantic helps you define what shape your data should have and automatically validates it, catching errors early and making your code more reliable and easier to understand.",https://pydantic-docs.helpmanual.io,"- Data validation
- Settings management
- Serialization",true
starburst,Starburst,Query Engine,"Starburst is a fast and flexible query engine built on open source Trino, designed to query data across any database.","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/imsmiqjafibkwqzcwsrb",https://docs.starburst.io/introduction/index.html,"Starburst is like a universal translator for databases, allowing you to query data across multiple sources as if they were all in one place, making it easier to analyze data spread across different systems.",https://www.starburst.io,"- Distributed SQL querying
- Data federation
- Data lake analytics",false
athena,AWS Athena,Query Engine,Amazon Athena is an interactive query service that makes it easy to analyze data in Amazon S3 using standard SQL.,https://icon.icepanel.io/AWS/svg/Analytics/Athena.svg,https://docs.aws.amazon.com/athena/latest/ug/getting-started.html,"Athena is like having a powerful SQL engine that can directly query your data stored in S3, without needing to set up and manage any servers.",https://aws.amazon.com/athena,"- Serverless querying
- Data lake analytics
- Ad-hoc analysis",false
trino,Trino,Query Engine,Trino (formerly PrestoSQL) is an open-source distributed SQL query engine designed to query large data sets distributed over one or more heterogeneous data sources.,https://avatars.githubusercontent.com/u/34147222?s=200&v=4,https://trino.io/docs/current/installation/deployment.html,"Trino is like a super-fast librarian that can find and combine information from many different libraries at once, allowing you to ask complex questions about data stored in various places and get quick answers.",https://trino.io,"- Distributed SQL querying
- Big data analytics
- Data federation",true
dremio,Dremio,Query Engine,"Dremio is an open-source data lake engine that provides fast query capabilities over data lakes, along with data virtualization and data acceleration technologies.",https://www.vectorlogo.zone/logos/dremio/dremio-icon.svg,https://docs.dremio.com/current/get-started/,"Dremio is like a high-speed train for your data lake, allowing you to quickly access and analyze data stored in various formats and locations without needing to move or copy it, making it easier to get insights from large amounts of diverse data.",https://www.dremio.com,"- Data lake engine
- SQL acceleration
- Data virtualization",true
elasticsearch,Elasticsearch,Query Engine,"Elasticsearch is a distributed, RESTful search and analytics engine capable of solving various use cases.",https://cdn.worldvectorlogo.com/logos/elasticsearch.svg,https://www.elastic.co/guide/en/elasticsearch/reference/current/getting-started.html,"Elasticsearch is a powerful search and analytics engine that allows you to store, search, and analyze large volumes of data quickly and in near real-time.",https://www.elastic.co,"- Full-text search
- Log analytics
- Application monitoring",true
s3,AWS S3,Storage,"Amazon S3 (Simple Storage Service) is an object storage service offering industry-leading scalability, data availability, security, and performance.",https://icon.icepanel.io/AWS/svg/Storage/Simple-Storage-Service.svg,https://docs.aws.amazon.com/AmazonS3/latest/userguide/GetStartedWithS3.html,"S3 is like a giant, reliable storage system in the cloud where you can keep any amount of data, access it quickly, and only pay for what you use.",https://aws.amazon.com/s3,"- Object storage
- Data backup
- Static website hosting",false
adls-gen2,Microsoft ADLS Gen2,Storage,"Azure Data Lake Storage Gen2 is a set of capabilities dedicated to big data analytics, built on Azure Blob storage.",https://miro.medium.com/v2/resize:fit:600/1*xkem5OSBR4oeQbMptKm6sw.png,https://docs.microsoft.com/en-us/azure/storage/blobs/data-lake-storage-introduction,"ADLS Gen2 is a powerful storage system designed for big data analytics in the cloud, allowing you to store and analyze massive amounts of data efficiently.",https://azure.microsoft.com/en-us/products/storage/data-lake-storage,"- Data lake storage
- Big data analytics
- Hadoop compatible storage",false
hadoop,Apache Hadoop,Storage;Query Engine,Apache Hadoop is an open-source framework for distributed storage and processing of large datasets using MapReduce.,https://cdn.icon-icons.com/icons2/2699/PNG/512/apache_hadoop_logo_icon_169586.png,https://hadoop.apache.org/docs/stable/hadoop-project-dist/hadoop-common/SingleCluster.html,"Hadoop is a framework that allows for the distributed processing of large data sets across clusters of computers, using simple programming models like MapReduce.",https://hadoop.apache.org,"- Distributed storage
- Big data processing
- Batch processing",true
kafka,Apache Kafka,Streaming,"Apache Kafka is a distributed event streaming platform used for high-performance data pipelines, streaming analytics, and data integration.",https://nrphlnibzuquhuzswkqv.supabase.co/storage/v1/object/public/engineeringtools/kafka.png,https://kafka.apache.org/quickstart,"Kafka is a distributed system for handling real-time data feeds, allowing you to publish, subscribe, store, and process streams of records seamlessly.",https://kafka.apache.org,"- Event streaming
- Message queuing
- Data integration",true
pulsar,Apache Pulsar,Streaming,"Apache Pulsar is a cloud-native, distributed messaging and streaming platform originally created at Yahoo!",https://vectorseek.com/wp-content/uploads/2023/11/Apache-Pulsar-Icon-Logo-Vector.svg-.png,https://pulsar.apache.org/docs/en/standalone/,"Pulsar is a distributed messaging system that allows you to build scalable, real-time data streaming applications with support for multiple subscription modes.",https://pulsar.apache.org,"- Distributed messaging
- Pub-sub messaging
- Stream processing",true
kinesis,AWS Kinesis,Streaming,"Amazon Kinesis makes it easy to collect, process, and analyze real-time, streaming data so you can get timely insights and react quickly to new information.",https://icon.icepanel.io/AWS/svg/Analytics/Kinesis.svg,https://docs.aws.amazon.com/kinesis/latest/dev/getting-started.html,"Kinesis is like a high-speed conveyor belt for data, allowing you to ingest and process large amounts of streaming data in real-time.",https://aws.amazon.com/kinesis,"- Real-time streaming
- Data analytics
- Application monitoring",false
redpanda,Redpanda,Streaming,"Redpanda is a Kafka-compatible event streaming platform with lower latency, higher throughput, and zero copy architecture.",https://nrphlnibzuquhuzswkqv.supabase.co/storage/v1/object/public/engineeringtools/redpanda.png,https://docs.redpanda.com/current/get-started/quick-start/,"Redpanda is like a supercharged version of Kafka, allowing you to process streams of data extremely quickly and efficiently, making it great for real-time data processing.",https://redpanda.com,"- Kafka-compatible streaming
- Real-time data processing
- Event-driven architectures",true
dbt,dbt,Transformation,dbt is a command-line tool that enables data analysts and engineers to transform data in their warehouses more effectively.,https://nrphlnibzuquhuzswkqv.supabase.co/storage/v1/object/public/engineeringtools/dbt.png,https://docs.getdbt.com/tutorial/setting-up,"dbt (data build tool) allows you to transform your data by writing modular SQL select statements, manage model dependencies, and generate documentation for your data warehouse.",https://www.getdbt.com,"- Data transformation
- Data modeling
- Analytics engineering",true
git,Git,Version Control,"Git is a distributed version-control system for tracking changes in source code during software development, designed for coordinating work among programmers.",https://cdn.icon-icons.com/icons2/2107/PNG/512/file_type_git_icon_130581.png,https://git-scm.com/book/en/v2/Getting-Started-About-Version-Control,"Git is like a time machine for your code, allowing you to track changes, experiment with new ideas, and collaborate with others without fear of losing your work.",https://git-scm.com,"- Version control
- Collaborative development
- Code management",true
synapse,Microsoft Synapse,Visualization,Azure Synapse is an analytics service that brings together enterprise data warehousing and Big Data analytics.,https://azure.microsoft.com/svghandler/synapse-analytics.png,https://learn.microsoft.com/en-us/azure/synapse-analytics/get-started,"Synapse is an integrated analytics platform that combines data integration, enterprise data warehousing, and big data analytics into a single service.",https://azure.microsoft.com/en-us/products/synapse-analytics,"- Data warehousing
- Big data analytics
- Data integration",false
looker,Looker,Visualization,"Looker is a business intelligence software and big data analytics platform that helps you explore, analyze and share real-time business analytics.",https://coefficient.io/wp-content/uploads/2022/03/looker.png,https://cloud.google.com/looker/docs/set-up-and-administer-looker,"Looker is a powerful tool that allows you to create custom data experiences, from simple dashboards to sophisticated data apps, helping you make data-driven decisions.",https://www.looker.com,"- Business intelligence
- Data visualization
- Embedded analytics",false
powerbi,Power BI,Visualization,Power BI is a business analytics tool by Microsoft for visualizing data and sharing insights across an organization.,https://1000logos.net/wp-content/uploads/2022/08/Microsoft-Power-BI-Logo.png,https://docs.microsoft.com/en-us/power-bi/fundamentals/desktop-getting-started,"Power BI is like a powerful magnifying glass for your data, allowing you to create interactive visualizations and dashboards that help you understand and present your data effectively.",https://powerbi.microsoft.com,"- Data visualization
- Business intelligence
- Interactive dashboards",false
tableau,Tableau,Visualization,Tableau is a visual analytics platform that helps people see and understand data through interactive visualizations.,https://leadsbridge.com/wp-content/themes/leadsbridge/img/integration-lg-logos/logo1024.png,https://public.tableau.com/en-us/s/resources,"Tableau is a powerful data visualization tool that allows you to connect to various data sources, create interactive dashboards, and share insights with others easily.",https://www.tableau.com,"- Data visualization
- Business intelligence
- Self-service analytics",false
superset,Apache Superset,Visualization,"Apache Superset is a modern data exploration and visualization platform designed to be visual, intuitive, and interactive.",https://seeklogo.com/images/S/superset-icon-logo-D70353ADD5-seeklogo.com.png,https://superset.apache.org/docs/quickstart,Superset is a data visualization and exploration platform that allows you to create interactive dashboards and perform ad-hoc analyses on your data without writing code.,https://superset.apache.org,"- Data exploration
- Data visualization
- Business intelligence",true
metabase,Metabase,Visualization,Metabase is an open-source business intelligence tool that lets you create interactive dashboards and ad-hoc queries without SQL.,https://www.metabase.com/images/logo.svg,https://www.metabase.com/learn/getting-started/getting-started.html,"Metabase is a user-friendly tool that allows you to explore your data, create visualizations, and share insights with your team, even if you're not a data expert.",https://www.metabase.com,"- Business intelligence
- Data visualization
- Ad-hoc querying",true
hex,Hex,Visualization,"Hex is a collaborative data workspace that combines SQL, Python, and interactive visualizations for data analysis and sharing.",https://mds-bucket.us-southeast-1.linodeobjects.com/93142832.png,https://learn.hex.tech/tutorials,"Hex is a platform where you can write code, query databases, create visualizations, and share your work, all in one place, making it easier to collaborate on data projects.",https://hex.tech,"- Data analysis
- Collaborative notebooks
- Data visualization",false
